Cod_Pai,Assunto_Descricao
10180,Fundo de Participação dos Municípios
11817,Fundos
6040,Funrural
3416,Furto
3418,Furto de coisa comum
5565,Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior
5564,Furto Privilegiado
3417,Furto Qualificado
6082,FUSEX/FUNSA/FUSMA/Fundo de Saúde das Forças Armadas
9986,Garantias Constitucionais
6030,"GATT - ""Acordo Geral sobre Tarifas e Comércio"""
10071,Genética / Células Tronco
12520,Genética / Células Tronco
10264,Gestante / Adotante / Paternidade
10119,Gestão de Florestas Públicas
7713,Gestão de Negócios
10290,Gratificação de Incentivo
10295,Gratificação Incorporada / Quintos e Décimos / VPNI
6152,Gratificação Natalina a partir da CF/88 (Art. 201 § 6º CF/88)
6056,Gratificação Natalina/13º Salário
10310,Gratificação Natalina/13º salário
10289,Gratificações da Lei 8.112/1990
10305,Gratificações de Atividade
10338,Gratificações e Adicionais
5556,Grave
5557,Gravíssima
10387,Habilitação / Registro Cadastral / Julgamento / Homologação
6161,Habilitação e Reabilitação Profissional
12399,Híbrida (Art. 48/106)
10494,Hipoteca
5609,Hipoteca Marítima
12130,Homicídio Agravado pela Prática de Extermínio de Seres Humanos
3371,Homicídio Privilegiado
3372,Homicídio Qualificado
3370,Homicídio Simples
10655,Honorários Advocatícios
10656,Honorários Advocatícios em Execução Contra a Fazenda Pública
10657,Honorários Advocatícios em FGTS
9258,Honorários Periciais
6065,Hora Extra
11856,Hospitais e Outras Unidades de Saúde
5946,ICMS/ Imposto sobre Circulação de Mercadorias
5947,ICMS/Importação
11947,Idoso
5944,IE/ Imposto sobre Exportação
5941,II/ Imposto sobre Importação
10446,Imissão
10676,Imissão na Posse
10097,Imóvel Funcional
10600,Impedimento
10660,Impedimento
10365,Impedimento / Detenção / Prisão
3459,Impedimento ou Perturbação de Cerimônia Funerária
3569,Impedimento perturbação ou fraude de concorrência
5942,Importação de bens usados
10140,Importações
5916,Impostos
10011,Improbidade Administrativa
7706,Imputação do Pagamento
12337,Imputação falsa de prática de infração penal ou revelação inverídica sobre estrutura de organização criminal
5914,Imunidade
9453,Imunidade de Execução
8838,Imunidade de Jurisdição
10909,Imunidade em razão de função ofício ou profissão
10530,Imunidade Recíproca
7691,Inadimplemento
6108,Incapacidade Laborativa Parcial
6109,Incapacidade Laborativa Permanente
6110,Incapacidade Laborativa Temporária
3492,Incêndio
11961,Incêndio culposo
10144,Incentivo
6003,Incentivos fiscais
5931,Incidência decorrente de Desligamento de Plano de Previdência Privada
5932,Incidência decorrente de Liquidação de Entidade de Previdência Privada
5927,Incidência sobre 1/3 de férias (art. 7º XVII da CF)
5928,Incidência sobre 13° Salário
10661,Incidência sobre Abono de Permanência
5949,Incidência sobre Ações de Companhias Abertas
5920,Incidência sobre Aplicações Financeiras
5936,Incidência sobre Aplicações Financeiras
5919,Incidência sobre Aposentadoria
10532,Incidência sobre Auxílio-condução
10533,Incidência sobre Auxílio-creche
5923,Incidência sobre Férias Compensadas
5929,Incidência sobre Função Comissionada
5930,Incidência sobre Hora Extra
5921,Incidência sobre Licença-Prêmio/Abono/Indenização
5938,Incidência sobre Lucro
5926,Incidência sobre Lucro Imobiliário
5925,Incidência sobre Participação nos Lucros
5918,Incidência sobre PDV
5924,Incidência sobre Proventos de Previdência Privada
5869,Incitação ao Crime
6171,Inclusão de Dependente
10323,Inclusão de Dependente
10591,Inclusão de Dependente
11940,Inclusão do 13º salário (gratificação natalina) no PBC
6226,Inclusão Indevida em Cadastro de Inadimplentes
7937,Inclusão/exclusão de Jurado
9524,Indenização do Prejuízo
9994,Indenização por Dano Ambiental
7780,Indenização por Dano Material
10439,Indenização por Dano Material
10502,Indenização por Dano Material
7779,Indenização por Dano Moral
9992,Indenização por Dano Moral
10433,Indenização por Dano Moral
6058,Indenização Trabalhista
10340,Indenizações Regulares
6015,Índice da Alíquota
10347,Índice da URP abril e maio/1988 DL 2.425/1988
10314,Índice da URV fev/1989
10318,Índice da URV Lei 8.880/1994
10344,Índice da URV Lei 8.880/1994
10316,Índice de 45 Lei 8.237/1991
6154,Índice de 402% da Lei 8.222/91
10321,Índice de 1087 Lei 10.192/2001
10317,Índice de 2886 Lei 8.622/1993 e 8.627/1993
10343,Índice de 2886% LL 8.622/1993 e 8.627/1993
10322,Índice de 4794 Lei 8.676/1993
10315,Índice de 8432 março/1990
10346,Índice de 8432% IPC março/1990
10320,Índice do IPC junho/1987
10345,Índice do IPC junho/1987
10913,Indisponibilidade / Seqüestro de Bens
10206,Indisponibilidade de Bens
10218,Indisponibilidade de Bens
5895,Indução Instigação ou Auxílio ao Uso de Drogas
10626,Indulto
10490,Industrial / Mercantil
3481,Induzimento a erro essencial e ocultação de impedimento
5843,Induzimento à Especulação
3489,Induzimento a Fuga Entrega Arbitrária ou Sonegação de Incapazes
3373,Induzimento Instigação ou Auxílio a Suicídio
9178,Inexequibilidade do Título / Inexigibilidade da Obrigação
10619,Inexigibilidade de Conduta Diversa
3375,Infanticídio
10022,Infração Administrativa
3515,Infração de Medida Sanitária Preventiva
11816,Infrações administrativas
10326,Ingresso e Concurso
10041,Ingresso no Curso Superior
3397,Injúria
10009,Inquérito / Processo / Recurso Administrativo
10372,Inscrição / Documentação
5603,Inscrição / Registro da Embarcação
5904,Inscrição de Despesas Não Empenhadas
3596,Inserção de dados falsos em sistema de informações
10016,Inspeção Fitossanitária
10018,Inspeção Sanitária de Origem Animal
10174,Instituições Financeiras
10024,Interdição
7788,Interdição Temporária de Direitos
10265,Interesse Particular
7795,Internação
11993,Internação Compulsória
12508,Internação compulsória
11995,Internação Involuntária
12509,Internação involuntária
11994,Internação Voluntária
12510,Internação voluntária
12483,Internação/Transferência Hospitalar
7770,Interpretação / Revisão de Contrato
10547,Interrupção
3504,Interrupção /perturbação de serviços telegráficos/telefônicos
8859,Intervenção de Terceiros
10120,Intervenção do Estado na Propriedade
9990,Intervenção em Estado / Município
10136,Intervenção no Domínio Econômico
11782,Intimação
10939,Intimação / Notificação
3427,Introdução ou abandono de animais em propriedade alheia
3495,Inundação / Perigo de Inundação
11967,Inundação culposa
3570,Inutilização de edital ou de sinal
10255,Invalidez Permanente
11978,Invasão de Dispositivo Informático
3451,Invasão de estabelecimento industrial comercial ou agrícola. Sabotagem
10604,Investigação Penal
3507,Invólucro ou recipiente com falsa indicação
5948,IOC/IOF Imposto sobre operações de crédito câmbio e seguro ou relativas a títulos ou valores mobiliários
5945,IPI/ Imposto sobre Produtos Industrializados
10690,IPMF - Imposto Provisório sobre Movimentação Financeira
5952,IPTU/ Imposto Predial e Territorial Urbano
5953,IPVA - Imposto Sobre Propriedade de Veículos Automotores
5917,IRPF/Imposto de Renda de Pessoa Física
5933,IRPJ/Imposto de Renda de Pessoa Jurídica
10311,Irredutibilidade de Vencimentos
11864,Irregularidade no atendimento
6133,IRSM de Fevereiro de 1994(3967%)
5915,Isenção
10341,Isonomia
10221,Isonomia/Equivalência Salarial
5951,ISS/ Imposto sobre Serviços
5954,ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis
5955,ITCD - Imposto de Transmissão Causa Mortis
5950,ITR/ Imposto Territorial Rural
6084,IUEE/Imposto Único sobre Energia Elétrica
12350,Jogo de azar
12352,Jogo do bicho
9605,Jogo e Aposta
11866,Jogos / Sorteios / Promoções comerciais
10084,Jogos de Bingo e/ou Caça-níqueis
10287,Jornada de Trabalho
10042,Jubilamento de Aluno
11911,Juizados Especiais
4291,Jurisdição e Competência
8828,Jurisdição e Competência
10684,Juros
7699,Juros de Mora - Legais / Contratuais
10161,Juros Progressivos
6005,Juros/Correção Monetária
5998,Lançamento
5567,Latrocínio
9565,Laudo Arbitral Internacional
10616,Legítima Defesa
10736,Legitimidade para a Causa
10436,Lei de Imprensa
10442,Lei de Imprensa
12505,Leito de enfermaria / leito oncológico
3385,Lesão Corporal
4973,Letra de Câmbio
6025,Levantamento de depósito
9160,Levantamento de Valor
3386,Leve
10160,Liberação de Conta
10165,Liberação de Conta
10175,Liberação de Depósitos de Instituição Liquidanda
6024,Liberação de mercadorias
6028,Liberação de Veículo Apreendido
10419,Liberação de Veículo Apreendido
3626,Liberação ou Descarte de OGM (Organismo Geneticamente Modificado)
7928,Liberdade Provisória
11914,Licença
10260,Licença Capacitação (Aperfeiçoamento Profissional)
10275,Licença por Acidente em Serviço
10357,Licença Prêmio
10261,Licença-Prêmio
9998,Licenças
10350,Licenças
10258,Licenças / Afastamentos
10358,Licenciamento
10366,Licenciamento / Exclusão
10420,Licenciamento de Veículo
10385,Licitações
9196,Liminar
10130,Limitação Administrativa
7789,Limitação de Fim de Semana
10586,Limitação de Juros
6128,Limitação do salário-de-benefício e da renda mensal inicial
5913,Limitações ao Poder de Tributar
10373,Limite de Idade
6169,Limite Mínimo de Idade
10416,Limites do Objeto
10415,Limites dos Poderes de Investigação
9148,Liquidação / Cumprimento / Execução
10179,Liquidação extrajudicial
10885,Liquidação Parcelada
8865,Litigância de Má-Fé
8866,Litisconsórcio
10636,Livramento condicional
6200,Livre Trânsito MERCOSUL
10527,Livros / Jornais / Periódicos
10090,Locação / Permissão / Concessão / Autorização / Cessão de Uso
9593,Locação de Imóvel
9609,Locação de Móvel
10162,Localização de Contas
10235,Lotação
12351,Loteria não autorizada
10079,Loterias/Sorteio
10269,Luto
10990,Má-gestão praticada por Prefeitos e Vereadores
10187,Magistratura
9594,Mandato
6051,Mandato Eletivo/Lei 9.506/97
6142,Manutenção do Benefício pela equivalência salarial
12221,Manutenção ou financiamento do terrorismo
4680,Marca
12470,Mariana
6066,Massa Falida- Recolhimento
10054,Material Didático
10030,Matrícula
10053,Matrícula
10508,Maus Tratos
3471,Mediação para Servir a Lascívia de Outrem
5867,Medicamento em Desacordo com Receita Médica
10912,Medidas Assecuratórias
11818,Medidas de proteção
7793,Medidas de Segurança
10110,Meio Ambiente
10052,Mensalidade
10039,Mensalidades
12507,Mental
6207,Mercosul
10060,Merenda
10398,Metrológica
5934,Microempresa
10324,Militar
11822,Mineração
8875,Ministério Público
10194,Ministério Público
11844,Minorias Étnicas
10386,Modalidade / Limite / Dispensa / Inexigibilidade
8941,Modificação ou Alteração do Pedido
3597,Modificação ou alteração não autorizada de sistema de informações
10153,Moeda Estrangeira
3524,Moeda Falsa / Assimilados
11846,Moradia
3589,Motim de presos
6111,Movimentos Repetitivos/Tenossinovite/LER/DORT
10595,Multa
10686,Multa Cominatória / Astreintes
9166,Multa de 10%
10023,Multas e demais Sanções
10168,Multas e demais Sanções
10395,Multas e demais Sanções
5972,Municipais
9603,Mútuo
6192,Nacionalidade
5908,Não Cancelamento de Restos a Pagar
11849,Não Discriminação
12495,Não padronizado
10239,Nomeação
6213,Normas do Mercosul
10176,Normatizações
4974,Nota de Crédito Comercial
4975,Nota de Crédito Industrial
4976,Nota de Crédito Rural
6067,Nota Fiscal ou Fatura
4980,Nota Promissória
7708,Novação
4264,Nulidade
8919,Nulidade
12412,Nulidade - Ausência de Citação do Executado
12401,Nulidade - Ausência de Fundamentação de Decisão
12405,Nulidade - Ausência de Identificação de Advogado ou de Sociedade de Advogados
12406,Nulidade - Ausência de Intimação do Ministério Público
12404,Nulidade - Ausência de Nome das Partes
12400,Nulidade - Ausência de publicidade de decisão
12407,Nulidade - Citação Sem Observância das Prescrições Legais
12413,Nulidade - Execução Instaurada Antes de Condição ou Termo
12402,Nulidade - Impedimento
12408,Nulidade - Intimação Sem Observância das Prescrições Legais
10734,Nulidade - Não Observância da Reserva de Plenário
12403,Nulidade - Suspeição
12411,Nulidade - Título Extrajudicial Não Correspondente a Obrigação Certa Líquida e Exigível
11781,Objetos de cartas precatórias/de ordem
5985,Obrigação Acessória
10670,Obrigação de Entregar
10671,Obrigação de Fazer / Não Fazer
5978,Obrigação Tributária
7681,Obrigações
10099,Ocupação
10129,Ocupação Temporária
5896,Oferecimento de Drogas para Consumo Conjunto
11812,Oferta e Publicidade
5910,Oferta Pública ou Colocação de Títulos no Mercado
11784,Oitiva
12346,Omissão de cautela na guarda ou condução de animal
12355,Omissão de comunicação de crime
10044,Omissão de Entrega de Notas
3516,Omissão de Notificação de Doença
3392,Omissão de socorro
12496,Oncológico
11838,Operações Urbanas Consorciadas
10954,Orçamento
11802,Ordem Urbanística
5906,Ordenação de Despesa Não Autorizada
10157,Organização Político-administrativa / Administração Pública
10403,Organização Sindical
12219,Organização Terrorista
11922,Órgão Especial
8883,Órgãos Judiciários e Auxiliares da Justiça
3433,Outras fraudes
3517,Outras Substâncias Nocivas a Saúde Pública
4831,Overbooking
12494,Padronizado
6091,PAES/Parcelamento Especial
7703,Pagamento
11924,Pagamento
10422,Pagamento Atrasado / Correção Monetária
7705,Pagamento com Sub-rogação
7704,Pagamento em Consignação
7714,Pagamento Indevido
10627,Pagamento ou Parcelamento do Crédito Tributário
3450,Paralisação de trabalho de interesse coletivo
3449,Paralisação de trabalho seguida de violência ou perturbação da ordem
10869,Parcela Incontroversa
5989,Parcelamento
10603,Parcelamento de crédito tributário
11836,Parcelamento do Solo
3660,Parcelamento do solo urbano
6176,Parcelas de benefício não pagas
6127,Parcelas e índices de correção do salário-de-contribuição
4794,Parceria Agrícola e/ou pecuária
10213,Parlamentares
10620,Parte Geral
8842,Partes e Procuradores
10529,Partidos Políticos
3485,Parto Suposto
6042,PASEP
4660,Patente
11830,Patrimônio Cultural
10108,Patrimônio Histórico / Tombamento
3590,Patrocínio infiel
3591,Patrocínio simultâneo ou tergiversação
3548,Peculato
3550,Peculato mediante erro de outrem
6106,Pecúlios (Art. 81/5)
6173,Pedidos Genéricos Relativos aos Benefícios em Espécie
7792,Pena de Multa
7791,Pena Privativa de Liberdade
7790,Pena Restritiva de Direitos
10428,Penalidades
10036,Penalidades Disciplinares
10056,Penalidades Disciplinares
10488,Penhor
9163,Penhora / Depósito/ Avaliação
10250,Pensão
10359,Pensão
6104,Pensão por Morte (Art. 74/9)
6194,Perda
10643,Perda da Função Pública
10449,Perda da Propriedade
6170,Perda da qualidade de segurado
7786,Perda de Bens e Valores
10644,Perda de Bens e Valores
12090,Perda ou Modificação de Guarda
10624,Perdão
7698,Perdas e Danos
6029,Perdimento de Bens
7935,Perempção
3388,Periclitação da Vida e da Saúde e Rixa
3389,Perigo de contágio de moléstia grave
5911,Perigo de Contágio Venéreo
3390,Perigo para a vida ou saúde de outrem
6168,Períodos de Carência
12354,Perturbação da tranquilidade
12347,Perturbação do trabalho ou do sossego alheios
3627,Pesca
11842,Pessoa Idosa
6218,Pessoa Jurídica Estrangeira
11843,Pessoas com deficiência
3545,Petrechos de Falsificação de Papéis Públicos
10993,Petrechos de Falsificação de Papéis Públicos por Funcionário Público
3527,Petrechos para falsificação de moeda
10994,Petrechos para falsificação de moeda por Funcionário Público
6039,PIS
10561,PIS - Importação
10163,PIS/PASEP
10312,Piso Salarial
10299,Plano de Classificação de Cargos
6233,Planos de Saúde
12486,Planos de saúde
11916,Plantão Judiciário
12415,Poderes Deveres e Responsabilidades do Juiz
11841,Política Agrícola
10137,Política de Preço Mínimo
11873,Política fundiária e da reforma agrária
11825,Poluição
12344,Porte de arma (branca)
10050,Pós-Graduação
10444,Posse
5885,Posse de Drogas para Consumo Pessoal
10240,Posse e Exercício
5850,Posse Sexual Mediante Fraude
11839,Posturas Municipais
10156,Poupança
10515,Prática de engenharia genética em célula germinal zigoto ou embrião humanos
5624,Praticagem
11811,Práticas Abusivas
8928,Prazo
9060,Prazo
6006,Prazo de Recolhimento
10383,Prazo de Validade
12543,Preconceituosa
10148,Preços Predatórios
10201,Prefeito
7696,Preferências e Privilégios Creditórios
12220,Preparação de ato terrorista
9050,Preparo / Deserção
5992,Prescrição
10623,Prescrição
5900,Prescrição Culposa de Drogas
5632,Prescrição e Decadência
6216,Prestação de Alimentos
10205,Prestação de Contas
10217,Prestação de Contas
5907,Prestação de Garantia Graciosa
9596,Prestação de Serviços
7787,Prestação de Serviços à Comunidade
7785,Prestação Pecuniária
3557,Prevaricação
4805,Previdência privada
10615,Princípio da Insignificância
10947,Princípio da Seletividade
10573,Prisão Civil
10640,Prisão Decorrente de Sentença Condenatória
7929,Prisão em flagrante
4355,Prisão Preventiva
10632,Prisão Temporária
10131,Privatização
5558,Privilegiada
10145,PROAGRO
6021,Procedimentos Fiscais
10363,Processo Administrativo Disciplinar / Sindicância
10279,Processo Administrativo Disciplinar ou Sindicância
6018,Processo Administrativo Fiscal
10190,Processo Disciplinar / Sindicância
10197,Processo Disciplinar / Sindicância
8960,Processo e Procedimento
8868,Procuração
6057,Produção Agropecuária
11860,Produto Impróprio
11867,Produto Impróprio
11829,Produtos Controlados / Perigosos
10399,Profissional
10499,Programa de Computador
10286,Programa de Desligamento Voluntário (PDV)
11804,Programas de Arrendamento Residencial PAR
10635,Progressão de Regime
7712,Promessa de Recompensa
10192,Promoção
10199,Promoção
10334,Promoção
10236,Promoção / Ascensão
12334,Promoção constituição financiamento ou integração de Organização Criminosa
10448,Propriedade
4654,Propriedade Intelectual / Industrial
10426,Prorrogação
10146,Proteção à Livre Concorrência
10587,Proteção da Intimidade e Sigilo de Dados
6202,Proteção Internacional a Direitos Humanos
7781,Protesto Indevido de Título
10669,Protocolo Integrado / Descentralizado
10375,Prova de Títulos
10926,Prova Ilícita
11904,Prova Objetiva
11907,Prova Oral
11906,Prova Prática-Sentença
11905,Prova Subjetiva
10048,Provão - Avaliação da Educação Superior
8990,Provas
10925,Provas
12419,Provas em geral
10251,Provisória
10362,Provisória
12340,Provocação de tumulto ou conduta inconveniente
12481,Pública
7627,Pulsos Excedentes
3521,Quadrilha ou Bando
7798,Quanto à Carga
7797,Quanto à Embarcação
10560,Quebra de Sigilo Bancário
10413,Quebra de Sigilo Bancário / Fiscal / Telefônico
10607,Quebra do Sigilo Bancário
10608,Quebra do Sigilo Fiscal
10609,Quebra do Sigilo Telefônico
10599,Quesitos
10691,Questão Prejudicial
12467,QUESTÕES DE ALTA COMPLEXIDADE GRANDE IMPACTO E REPERCUSSÃO
10169,Questões Funcionais
10675,Quinto Constitucional
4841,Quitação
10078,Radiodifusão
10237,Readaptação
6146,Reajustamento pelo IGP-DI
6150,Reajustamento pelo INPC
6148,Reajuste aplicado ao salário mínimo em setembro/94
6159,Reajuste conforme Portaria MPAS 714/1993
12225,Reajuste contratual
12488,Reajuste contratual
10319,Reajuste da Lei 8.270/1991
10066,Reajuste da Tabela do SUS
12514,Reajuste da tabela do SUS
6145,Reajuste de 147%
4842,Reajuste de Prestações
10342,Reajuste de Remuneração Soldo Proventos ou Pensão
6139,Reajuste pela Súmula 260 do TFR
10313,Reajustes de Remuneração Proventos ou Pensão
6138,Reajustes e Revisões Específicos
12542,Real
4370,Recebimento
11858,Recebimento de bolsa de estudos
3435,Receptação
11959,Receptação culposa
5847,Receptação Qualificada
10204,Recondução
10216,Recondução
10224,Recondução
4305,Recurso
9045,Recurso
10391,Recursos Administrativos
11824,Recursos Hídricos
10106,Recursos Minerais
12356,Recusa de dados sobre a própria identificação ou qualificação
12339,Recusa ou omissão de dados cadastrais registros documentos e informações
3650,Recusa retardamento ou omissão de dados técnicos indispensáveis à propositura de Ação Civil Pública
10233,Redistribuição
3404,Redução a condição análoga à de escravo
6112,Redução da Capacidade Auditiva
6059,Reembolso auxílio-creche
6090,REFIS/Programa de Recuperação Fiscal
10349,Reforma
10325,Regime
10220,Regime Estatutário
10633,Regime inicial
10142,Regime ou Certificado de Origem MERCOSUL
10230,Regime Previdenciário
6089,Regimes Especiais de Tributação
12492,Registrado na ANVISA
5585,Registro / Cadastro do Armador
10007,Registro / Porte de arma de fogo
10008,Registro de Aeronave
10026,Registro de Direito Autoral
10005,Registro de Empresa
10021,Registro de Marcas Patentes ou Invenções
3486,Registro de Nascimento Inexistente
12159,Registro de Ocorrência pela PM
10027,Registro de Programa de Computador
10020,Registro de Trabalho Portuário/Órgão de Gestão de Mão-de-Obra
10167,Registro Profissional
10406,Registro Sindical
6172,"Regra de Transição para Aposentadoria - ""Pedágio"""
10906,Regressão de Regime
10666,Regularidade Formal
3575,Reingresso de estrangeiro expulso
10226,Reintegração
10328,Reintegração
10100,Reintegração de Posse
4371,Rejeição
9189,Remição
10637,Remição
7711,Remissão das Dívidas
10193,Remoção
10200,Remoção
10229,Remoção
12379,Remoção Compulsória
10188,Remuneração
10195,Remuneração
10203,Remuneração
10214,Remuneração
10177,Remuneração de Ativos Retidos
10593,Remuneração Mínima
6117,Renda Mensal Vitalícia
6166,Renúncia ao benefício
10956,Repasse de Duodécimos
10065,Repasse de Verbas do SUS
12515,Repasse de verbas do SUS
10957,Repasse de Verbas Públicas
6007,Repetição de indébito
3617,Representação caluniosa
4813,Representação comercial
8873,Representação em Juízo
3538,Reprodução ou adulteração de selo ou peça filatélica
12161,Requerimento de Apreensão de Veículo
12160,Requerimento de Reintegração de Posse
10135,Requisição de Bem Particular
10673,Requisição de Pequeno Valor - RPV
4957,Requisitos
10425,Rescisão
10582,Rescisão / Resolução
7768,Rescisão do contrato e devolução do dinheiro
11908,Reserva de Vagas
10371,Reserva de Vagas para Deficientes
11823,Reserva legal
10352,Reserva Remunerada
10590,Resgate de Contribuição
11917,Residência
10047,Residência Médica
3566,Resistência
11902,Resolução Conjunta
10431,Responsabilidade Civil
10512,Responsabilidade Civil do Militar - Indenização ao Erário
10283,Responsabilidade Civil do Servidor Público / Indenização ao Erário
7783,Responsabilidade Contratual
3609,Responsabilidade Criminal por Danos Nucleares
9991,Responsabilidade da Administração
5595,Responsabilidade do Comandante ou Capitão
6220,Responsabilidade do Fornecedor
7784,Responsabilidade Extracontratual
11863,Responsabilidade Fiscal
11874,Responsabilidade fiscal
5979,Responsabilidade tributária
5980,Responsabilidade Tributária do Sócio-Gerente / Diretor / Representante
10070,Ressarcimento ao SUS
12516,Ressarcimento do SUS
6178,Restabelecimento
10253,Restabelecimento
10361,Restabelecimento
10132,Restituição de área
10104,Restituição de área - FUNAI
10921,Restituição de Criança Convenção de Haia 1980
5922,Retido na fonte
5937,Retido na fonte
10126,Retrocessão
12336,Revelação de identidade fotografia ou filmagem do colaborador
9024,Revelia
10232,Reversão
12152,Revisão de Tutela Antecipada
12418,Revisão de Tutela Antecipada Antecedente
4854,Revisão do Saldo Devedor
11945,Revisão do valor do benefício no primeiro reajuste após a concessão (Art. 21 § 3º da Lei 8.880/1994)
10307,Revisão Geral Anual (Mora do Executivo - inciso X art. 37 CF 1988)
10389,Revogação
10112,Revogação/Anulação de multa ambiental
10111,Revogação/Concessão de Licença Ambiental
3393,Rixa
6120,RMI - Renda Mensal Inicial
6119,RMI - Renda Mensal Inicial Reajustes e Revisões Específicas
6129,RMI cuja salário-de-benefício supera menor valor teto
6125,RMI da pensão de dependente de ex-combatente
6123,RMI pela equivalência entre Salário-de-Benefício e Salário-de-Contribuição
6122,RMI pelo art. 1º da Lei 6.423/77 - índices de atualização dos 24 1ºs salários-de-contribuição anteriores aos 12 últimos)
6121,RMI pelo art. 202 CF/88 (média dos 36 últimos salários-de-contribuição)
6124,RMI sem incidência de Teto Limitador
3419,Roubo
5566,Roubo Majorado
5854,Rufianismo
10489,Rural - Agrícola/Pecuário
6098,Rural (Art. 48/51)
6144,Salário Mínimo de Ncz$ 12000 para junho/89
6037,Salário-Educação
10249,Salário-Família
6102,Salário-Família (Art. 65/70)
6068,Salário-Maternidade
6103,Salário-Maternidade (Art. 71/73)
10390,Sanções Administrativas
11862,Saneamento
10397,Sanitárias
11418,Satisfação de lascívia mediante presença de criança ou adolescente
10064,Saúde
11854,Saúde Mental
9964,Seção Cível
3387,Seguida de Morte
10019,Segurança e Medicina do Trabalho
10400,Segurança e/ou Medicina do Trabalho
11840,Segurança em Edificações
4847,Seguro
7621,Seguro
9597,Seguro
6038,Seguro Acidentes do Trabalho
6078,Seguro Apagão (Lei 10.438/02)
10181,Seguro desemprego
12216,Seguro-defeso ao pescado artesanal profissional
5194,Seguros Marítimos
12493,Sem registro na ANVISA
10678,Sequestro de Verbas Públicas
3403,Seqüestro e cárcere privado
10266,Serviço Militar
10335,Serviço Militar dos Profissionais da Saúde
10332,Serviço Militar Obrigatório
10082,Serviço Postal
10028,Serviços
5621,Serviços Auxiliares da Navegação
7775,Serviços Hospitalares
7774,Serviços Profissionais
10128,Servidão Administrativa
10219,Servidor Público Civil
6049,Servidores Ativos
6050,Servidores Inativos
12353,Servir bebidas alcóolicas a vulneráveis
6022,Sigilo Fiscal
3641,Sigilo Telefônico
6092,SIMPLES
12544,Simples
3483,Simulação de Autoridade para Celebração de Casamento
3482,Simulação de Casamento
12348,Simulação de Qualidade de Funcionário
11872,Sistema de proteção especial a vítimas e a testemunhas
4839,Sistema Financeiro da Habitação
10417,Sistema Nacional de Trânsito
10072,Sistema Nacional do Desporto
10288,Sistema Remuneratório e Benefícios
10337,Sistema Remuneratório e Benefícios
12511,Sistema Único de Saúde (SUS)
10049,Sistemas de cotas - Lei 10.558/2002
6149,Sistemática de conversão dos benefícios previdenciários em URVs
3598,Sonegação de contribuição previdenciária
3592,Sonegação de papel ou objeto de valor probatório
3487,Sonegação do Estado de Filiação
3409,Sonegação ou destruição de correspondência
10497,Subsídios
3519,Substância Destinada à Falsificação
9494,Substituição da Parte
10628,Substituição da Pena
7767,Substituição do Produto
5981,Substituição Tributária
11918,Substituição/Convocação em Tribunal
3490,Subtração de Incapazes
3497,Subtração ocultação ou inutilização de material de salvamento
3571,Subtração ou inutilização de livro ou documento
9484,Sucessão
8867,Sucessão Processual
8874,Sucumbência
6093,Super SIMPLES
12482,Suplementar
3540,Supressão de documento
5570,Supressão ou Alteração de Marca em Animais
10601,Suspeição
10659,Suspeição
4271,Suspensão
10282,Suspensão
10367,Suspensão
10424,Suspensão
10546,Suspensão
10634,Suspensão condicional da pena
5987,Suspensão da Exigibilidade
8939,Suspensão do Processo
9575,Sustação de Protesto
4846,Sustação/Alteração de Leilão
11805,Tabela Price
11807,Tarifas
5958,Taxa Anual por Hectare
5970,Taxa de Aferição de Equipamentos de Metrologia
5959,Taxa de Armazenamento
10536,Taxa de Coleta de Lixo
5960,Taxa de Despacho Aduaneiro
5961,Taxa de Exploração Mineral
5962,Taxa de Fiscalização Ambiental
5968,Taxa de Fiscalização da Comissão de Valores Mobiliários
5963,Taxa de Guia de Importação
10535,Taxa de Iluminação Pública
5964,Taxa de Licença de Importação
10538,Taxa de Licenciamento de Estabelecimento
10534,Taxa de Limpeza Pública
5965,Taxa de Melhoramento de Portos
10092,Taxa de Ocupação
10101,Taxa de Ocupação
10401,Taxa de Ocupação / Laudêmio / Foro
5966,Taxa de Permanência
10537,Taxa de Prevenção e Combate a Incêndio
5967,Taxa de Saúde Suplementar
5969,Taxa Judiciária
10687,Taxa SELIC
5956,Taxas
5995,TDA/Títulos da Dívida Agrária
7617,Telefonia
10080,Telefonia
12420,Tempestividade
10276,Tempo de Serviço
10354,Tempo de Serviço
6181,Tempo de serviço
6055,Tempo de Serviço Rural/Contribuições não Recolhidas
6054,Tempo de Serviço Urbano/Contribuições não Recolhidas
11851,Terceirização do SUS
12517,Terceirização do SUS
10427,Termo Aditivo
10094,Terras Devolutas
10102,Terras Indígenas
10103,Terreno Aldeado
10091,Terreno de Marinha
12217,Terrorismo
10297,Teto Salarial
10612,Tipicidade
10185,Títulos da Dívida Agrária
10184,Títulos da Dívida Pública
4949,Títulos de Crédito
6201,Trabalhador Migrante ou Fronteiriço do MERCOSUL
3608,Tráfico de Drogas e Condutas Afins
3567,Tráfico de influência
5877,Tráfico de Influência em Transação Comercial Internacional
10987,Tráfico Ilícito de Drogas praticado por Funcionário Público
11421,Tráfico internacional de pessoa para fim de exploração sexual
5855,Tráfico Internacional de Pessoas
11422,Tráfico interno de pessoa para fim de exploração sexual
5856,Tráfico Interno de Pessoas
